term.id,-,term.name,term.units,term.synonyms,term.subClassOf.0.id,term.definition,term.agrovoc,term.defaultProperties.0.term.id,term.defaultProperties.0.value,term.defaultProperties.0.sd,term.defaultProperties.1.term.id,term.defaultProperties.1.value,term.defaultProperties.1.sd,term.defaultProperties.1.description,term.defaultProperties.2.term.id,term.defaultProperties.2.value,term.defaultProperties.2.sd,term.defaultProperties.2.description,term.defaultProperties.3.term.id,term.defaultProperties.3.value,term.defaultProperties.3.sd,term.defaultProperties.3.description,term.defaultProperties.4.term.id,term.defaultProperties.4.value,term.defaultProperties.4.sd,term.defaultProperties.4.description,term.defaultProperties.5.term.id,term.defaultProperties.5.value,term.defaultProperties.5.sd,term.defaultProperties.5.description,term.defaultProperties.6.term.id,term.defaultProperties.6.value,term.defaultProperties.6.sd,term.defaultProperties.6.description,term.defaultProperties.7.term.id,term.defaultProperties.7.value,term.defaultProperties.7.min,term.defaultProperties.7.max,term.defaultProperties.8.term.id,term.defaultProperties.8.value,term.defaultProperties.8.sd,term.defaultProperties.8.description,term.ecoinventReferenceProductId,lookups.0.name,lookups.0.value,lookups.0.dataState,lookups.1.name,lookups.1.value,lookups.1.dataState,lookups.2.name,lookups.2.value,lookups.2.dataState,lookups.3.name,lookups.3.value,lookups.3.dataState,lookups.4.name,lookups.4.value,lookups.4.dataState,lookups.5.name,lookups.5.value,lookups.5.min,lookups.5.max,lookups.5.source,lookups.5.notes,lookups.5.dataState,lookups.6.name,lookups.6.value,lookups.6.min,lookups.6.max,lookups.6.source,lookups.6.notes,lookups.6.dataState,lookups.7.name,lookups.7.value,lookups.7.dataState,lookups.8.name,lookups.8.value,lookups.8.dataState,lookups.9.name,lookups.9.value,lookups.9.dataState,lookups.10.name,lookups.10.value,lookups.10.dataState,lookups.11.name,lookups.11.value,lookups.11.dataState
organicNitrogenFertiliserUnspecifiedKgN,"organic Nitrogen Fertiliser, Unspecified Kg N","Organic Nitrogen fertiliser, unspecified (kg N)",kg N,-,-,"A generic term for organic fertiliser, where the type is unknown, measured in kg of nitrogen (N).",http://aims.fao.org/aos/agrovoc/c_13c21a25 ,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/60e40c5e-8a0e-52f7-8c7f-2664ac536903,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
organicPhosphorusFertiliserUnspecifiedKgP2O5,"organic Phosphorus Fertiliser, Unspecified Kg P2O5","Organic Phosphorus fertiliser, unspecified (kg P2O5)",kg P2O5,"Organic Phosphorus fertilizer, unspecified (kg P2O5)",-,"A generic term for organic fertiliser, where the type is unknown, measured in kg of phosphorus (P2O5).",http://aims.fao.org/aos/agrovoc/c_4911ce06 ,-,-,-,-,-,-,-,-,-,-,-,phosphateContentAsP2O5,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/6dbeade5-eb8e-5666-b681-f479757cfd86,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
organicPotassiumFertiliserUnspecifiedKgK2O,"organic Potassium Fertiliser, Unspecified Kg K2O","Organic Potassium fertiliser, unspecified (kg K2O)",kg K2O,"Organic Potassium fertilizer, unspecified (kg K2O)",-,"A generic term for organic fertiliser, where the type is unknown, measured in kg of potassium (K2O).",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,potassiumContentAsK2O,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/318bc688-5b2f-56fa-8bab-3c071c0f52bb,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
organicMagnesiumFertiliserUnspecifiedKgMg,"organic Magnesium Fertiliser, Unspecified Kg Mg","Organic Magnesium fertiliser, unspecified (kg Mg)",kg Mg,"Organic Magnesium fertilizer, unspecified (kg Mg)",-,"A generic term for organic fertiliser, where the type is unknown, measured in kg of magnesium (Mg).",http://aims.fao.org/aos/agrovoc/c_27904,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,magnesiumContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
nitrogenInPrecipitationKgN,nitrogen In Precipitation Kg N,Nitrogen in precipitation (kg N),kg N,Nitrogen in rainfall; N in precipitation; N in rainfall,-,The amount of nitrogen in precipitation.,-,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,,missing,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,-,-,-,-,"The IPCC model accounts for emissions from redeposition separately, so including emissions from N in precipitation here would be a double count.",not required,IPCC_2019_FRACGASM_NOx-N,-,-,-,-,"The IPCC model accounts for emissions from redeposition separately, so including emissions from N in precipitation here would be a double count.",not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,FALSE,complete
nitrogenInIrrigationWaterKgN,nitrogen In Irrigation Water Kg N,Nitrogen in irrigation water (kg N),kg N,Nitrogen in irrigation water; N in irrigation water,-,"The amount of background nitrogen in irrigation water, excluding nitrogen fertiliser that is added (i.e. fertigation).",-,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,,missing,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,-,-,-,-,-,not required,IPCC_2019_FRACGASM_NOx-N,-,-,-,-,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,FALSE,complete
manureFreshKgN,"manure, Fresh Kg N","Manure, fresh (kg N)",kg N,FYM; Farmyard manure,-,"A generic term for the solid excreta of animals, often mixed with bedding and some urine, in fresh state, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,11.56,9.77,Poore & Nemecek (2018),phosphateContentAsP2O5,51.91,-,Poore & Nemecek (2018),potassiumContentAsK2O,144.40,-,Poore & Nemecek (2018),-,-,-,-,carbonContent,1450.00,725.00,IPCC (2019),-,-,-,-,ligninContent,365.00,182.50,IPCC (2019),-,OrganicFertiliserClassification,Solid,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,0.21,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,0.15,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,0.28,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,0.0325,complete,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,649,complete,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
manureDryKgN,"manure, Dry Kg N","Manure, dry (kg N)",kg N,FYM; Farmyard manure,-,"A generic term for the solid excreta of animals, often mixed with bedding and some urine, dried, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,11.56,9.77,Poore & Nemecek (2018),phosphateContentAsP2O5,51.91,-,Poore & Nemecek (2018),potassiumContentAsK2O,144.40,-,Poore & Nemecek (2018),-,-,-,-,carbonContent,1450.00,725.00,IPCC (2019),-,-,-,-,ligninContent,365.00,182.50,IPCC (2019),-,OrganicFertiliserClassification,Solid,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,0.21,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,0.15,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,0.28,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,0.0325,complete,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,649,complete,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
compostedManureKgN,composted Manure Kg N,Composted manure (kg N),kg N,"Manure, composted",-,A generic term used to describe animal manure that is left to decompose.,http://aims.fao.org/aos/agrovoc/c_8f17e9f1,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,3.03,-,"Zvomuya et al (2006) Predicting Phosphorus Availability from Soil-Applied Composted and Non-Composted Cattle Feedlot Manure, table 3",phosphateContentAsP2O5,111.70,-,"Zvomuya et al (2006) Predicting Phosphorus Availability from Soil-Applied Composted and Non-Composted Cattle Feedlot Manure, table 3",potassiumContentAsK2O,310.74,-,"Zvomuya et al (2006) Predicting Phosphorus Availability from Soil-Applied Composted and Non-Composted Cattle Feedlot Manure, table 3",-,-,-,-,carbonContent,1138.85,-,"Zvomuya et al (2006) Predicting Phosphorus Availability from Soil-Applied Composted and Non-Composted Cattle Feedlot Manure, table 3",-,-,-,-,ligninContent,785.40,182.50,"Zvomuya et al (2006) Predicting Phosphorus Availability from Soil-Applied Composted and Non-Composted Cattle Feedlot Manure, table 3",-,OrganicFertiliserClassification,Solid,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,0.21,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,0.15,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,0.28,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,0.0325,complete,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
slurryAndSludgeKgN,slurry And Sludge Kg N,Slurry and sludge (kg N),kg N,-,-,"A generic term for the solid liquid of farm animals and humans, measured in kg of nitrogen (N).",http://aims.fao.org/aos/agrovoc/c_16602 ,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,60.55,13.61,Poore & Nemecek (2018),phosphateContentAsP2O5,52.20,-,Poore & Nemecek (2018),potassiumContentAsK2O,77.55,-,Poore & Nemecek (2018),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
